Geneid,ABA_total_RNA_seq_Rep1,ABA_total_RNA_seq_Rep2,CK_total_RNA_seq_Rep1,CK_total_RNA_seq_Rep2,CS_Leaf_total_RNA_seq_Rep1,CS_Leaf_total_RNA_seq_Rep2,CS_Spikelet_Feekes10_total_RNA_seq_Rep1,CS_Spikelet_Feekes10_total_RNA_seq_Rep2,MeJA_total_RNA_seq_Rep1,MeJA_total_RNA_seq_Rep2,SA_total_RNA_seq_Rep1,SA_total_RNA_seq_Rep2
TraesCS1A03G0009700,30,43,63,17,4,17,4,5,55,29,59,48
TraesCS1A03G0011000,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1A03G0012700,15,3,28,18,54,18,197,393,14,13,76,191
TraesCS1A03G0012900,22,14,43,8,50,13,39,53,15,18,145,322
TraesCS1A03G0017700,0,0,0,0,0,0,2,2,0,0,0,4
TraesCS1A03G0022100,61,69,41,49,33,26,368,640,36,149,97,646
TraesCS1A03G0022300,0,0,0,0,0,0,3,3,0,0,0,0
TraesCS1A03G0022500,0,0,0,0,0,0,1,0,0,0,0,0
TraesCS1A03G0024800,49,62,108,39,44,42,123,199,69,71,102,199
TraesCS1A03G0024900,30,51,41,35,31,50,63,107,26,63,60,143
TraesCS1A03G0025200,422,300,1102,270,333,268,79,97,579,723,1039,1093
TraesCS1A03G0026100,8,6,25,5,6,13,6,9,13,16,26,29
TraesCS1A03G0027200,161,88,56,164,180,191,737,1307,23,312,71,660
TraesCS1A03G0027800,120,192,236,73,63,136,327,670,103,132,226,623
TraesCS1A03G0032200,3,11,6,52,9,30,1,14,5,111,16,130
TraesCS1A03G0038800,66,49,120,23,15,43,189,286,59,77,72,135
TraesCS1A03G0039100,0,0,0,0,0,0,2,2,0,0,0,0
TraesCS1A03G0041800,0,0,0,0,0,0,2,1,0,0,0,0
TraesCS1A03G0042800,10,2,25,1,0,0,3,2,28,14,28,7
TraesCS1A03G0048900,4,1,9,20,18,3,175,386,2,20,13,163
TraesCS1A03G0049000,0,0,0,0,0,2,10,25,0,2,0,34
TraesCS1A03G0058100,154,281,1086,152,211,234,23,22,359,234,351,445
TraesCS1A03G0059400,108,698,638,177,94,132,112,188,303,215,395,729
TraesCS1A03G0060600,63,209,239,149,60,98,110,48,62,167,120,545
TraesCS1A03G0060800,17,31,26,12,37,30,41,86,10,44,26,54
TraesCS1A03G0061000,239,235,273,65,49,124,381,805,192,265,222,687
TraesCS1A03G0065000,0,0,0,0,1,0,3,6,0,0,0,4
TraesCS1A03G0065300,35,22,37,18,45,51,544,827,12,53,32,301
TraesCS1A03G0065500,2,2,1,1,1,0,372,662,2,4,5,74
TraesCS1A03G0065600,61,11,29,1,109,83,607,1094,43,70,53,337
TraesCS1A03G0065900,58,30,53,6,14,29,1154,1734,36,78,65,365
TraesCS1A03G0066200,28,65,47,8,16,49,196,483,25,35,44,141
TraesCS1A03G0083400,48,54,32,5,18,132,551,833,28,31,66,350
TraesCS1A03G0091600,0,0,0,0,0,0,9,1,0,0,0,0
TraesCS1A03G0096800,1,0,4,2,0,2,44,119,2,8,3,28
TraesCS1A03G0098000,8,4,6,0,10,9,227,431,4,6,1,63
TraesCS1A03G0186700,4,0,7,2,3,6,22,35,3,1,2,16
TraesCS1A03G0245900,1166,1180,364,140,224,497,4421,8619,594,793,903,1790
TraesCS1A03G0246700,34,43,41,16,15,24,44,104,15,40,24,82
TraesCS1A03G0408500,109,233,211,90,219,210,53,96,122,156,168,210
TraesCS1A03G0451000,0,0,0,0,0,0,2,4,2,0,0,2
TraesCS1A03G0627700,55,78,72,28,43,84,57,98,34,46,60,72
TraesCS1A03G0664000,72,86,221,89,53,88,63,129,141,108,233,276
TraesCS1A03G0679300,0,0,0,0,1,0,85,127,0,0,0,19
TraesCS1A03G0768300,61,30,170,29,18,49,154,106,142,46,143,106
TraesCS1A03G0802600,800,1113,1030,658,683,827,190,227,537,1243,962,1386
TraesCS1A03G0867300,14,31,25,7,11,6,14,24,5,19,14,22
TraesCS1A03G0867600,48,19,115,4,0,6,0,0,74,16,100,34
TraesCS1A03G0867700,2,2,17,0,0,0,1,1,13,2,10,3
TraesCS1A03G0867800,7,4,34,7,0,0,0,0,35,2,24,1
TraesCS1A03G0888300,49,57,88,13,12,34,82,101,41,34,81,90
TraesCS1A03G0906800,2,2,0,3,5,0,383,400,1,18,12,282
TraesCS1A03G0912100,0,0,1,0,0,0,8,13,0,0,1,10
TraesCS1A03G0916000,0,0,0,0,0,0,2,2,0,1,1,1
TraesCS1A03G0918100,0,0,6,0,0,0,8,18,0,0,7,27
TraesCS1A03G1001200,2,2,5,3,7,0,8,14,1,5,2,10
TraesCS1A03G1001400,0,0,0,1,2,0,53,122,0,6,1,26
TraesCS1A03G1001500,2,0,2,0,0,0,56,78,1,0,1,14
TraesCS1A03G1018200,37,97,92,35,32,49,28,33,69,56,82,78
TraesCS1A03G1035700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS1A03G1036900,0,5,2,2,1,26,4,5,1,8,1,17
TraesCS1A03G1037100,0,0,4,1,2,6,288,478,2,3,0,72
