seqname	Status	Subclass (putative)	Domain	Domain architecture simplified
TraesCS1A03G0009700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0011000.1	NLR	CC-NLR	(NBARC)	N
TraesCS1A03G0012700.1	NLR	CC-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0012900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0017700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0022100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0022300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0022500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0024800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1A03G0024900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0025200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0026100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1A03G0027200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0027800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1A03G0032200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0038800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0039100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0041800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0042800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0048900.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1A03G0049000.1	NLR	CC-NLR	(CC)(NBARC)(NBARC)(LRR)	CNNL
TraesCS1A03G0058100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0059400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0060600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G0060800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G0061000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0065000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0065300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0065500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G0065600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G0065900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0066200.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0066200.2	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0067400.1	CCX	CCX	(CC)	C
TraesCS1A03G0083400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0091600.1	degenerate NLR	UNDETERMINED	(LRR)(LRR)	L
TraesCS1A03G0096800.1	degenerate NLR	CC-NLR	(CC)(PLOOP)(LRR)	CPL
TraesCS1A03G0098000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0186700.1	NLR	CC-NLR	(CC)(NBARC)(PLOOP)	CNP
TraesCS1A03G0245900.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G0246700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G0408500.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0451000.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0627700.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0664000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0664000.2	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1A03G0664000.3	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1A03G0679300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0768300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0802600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0867300.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1A03G0867600.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1A03G0867700.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1A03G0867800.1	NLR	UNDETERMINED	(NBARC)	N
TraesCS1A03G0888300.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1A03G0906800.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)(LRR)	NL
TraesCS1A03G0912100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0916000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G0918100.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1A03G0950900.1	CCX	CCX	(CC)	C
TraesCS1A03G1001200.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1A03G1001400.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1A03G1001500.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G1018200.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G1034400.1	MLKL	MLKL	(MLKL)(PKin)	MO
TraesCS1A03G1035700.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G1036900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G1037100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G1037100.2	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G1053000.1	NLR	CC-NLR	(CC)(NBARC)(LRR)(LRR)	CNL
TraesCS1A03G1059400.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G1059600.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G1059800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1A03G1059900.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G1060300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1A03G1061200.1	CCX	CCX	(CC)	C
TraesCS1A03G1061600.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0000100.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0000200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0000800.1	NLR	CC-NLR	(CC)(NBARC)	CN
TraesCS1B03G0000900.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0001300.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0004100.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1B03G0004400.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0004700.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PLOOP)(LRR)	PL
TraesCS1B03G0005100.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0005600.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0005800.1	NLR	CC-NLR	(CC)(NBARC)(LRR)	CNL
TraesCS1B03G0006100.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1B03G0006200.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
TraesCS1B03G0006500.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PKin)(LRR)	OL
TraesCS1B03G0006700.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PKin)(LRR)	OL
TraesCS1B03G0007200.1	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(LRR)	L
TraesCS1B03G0007200.2	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PLOOP)(LRR)	PL
TraesCS1B03G0008000.2	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PKin)(LRR)	OL
TraesCS1B03G0008000.3	degenerate NLR	CC-NLR or CCR-NLR or CCG10-NLR	(PKin)(LRR)	OL
TraesCS1B03G0009700.1	NLR	CC-NLR or CCR-NLR or CCG10-NLR	(NBARC)(LRR)	NL
