,0,1,2,3,4,5,6,7,8
603,Chr1A,IWGSC_v2.1,gene,2599654,2609145,.,-,.,"ID=TraesCS1A03G0009700;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G003100,BST_chr1A_nlr_96;name=BST_chr1A_nlr_96;Name=TraesCS1A03G0009700;manually_curated=yes;last_modification=2017-01-31T11:06:12;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G003100"
721,Chr1A,IWGSC_v2.1,gene,3105946,3108798,.,+,.,ID=TraesCS1A03G0011000;curating_team=IWGSC_steuernb;derived_from=BST_pseudo_chr1A_nlr_1;name=BST_pseudo_chr1A_nlr_1;Name=TraesCS1A03G0011000;manually_curated=yes;last_modification=2017-01-31T11:05:38;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G003546
767,Chr1A,IWGSC_v2.1,gene,3341113,3344810,.,-,.,"ID=TraesCS1A03G0012700;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G004000,BST_chr1A_nlr_95;name=BST_chr1A_nlr_95;Name=TraesCS1A03G0012700;manually_curated=yes;last_modification=2017-01-31T11:07:05;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G004000"
777,Chr1A,IWGSC_v2.1,gene,3377845,3384475,.,+,.,"ID=TraesCS1A03G0012900;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G004100,BST_chr1A_nlr_2;name=BST_chr1A_nlr_2;Name=TraesCS1A03G0012900;manually_curated=yes;last_modification=2017-03-02T14:07:44;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G004100"
1274,Chr1A,IWGSC_v2.1,gene,4605426,4609380,.,-,.,"ID=TraesCS1A03G0017700;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G006700,BST_chr1A_nlr_94;name=BST_chr1A_nlr_94;Name=TraesCS1A03G0017700;manually_curated=yes;last_modification=2017-03-03T11:38:12;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G006700"
1379,Chr1A,IWGSC_v2.1,gene,5545869,5552088,55,+,.,ID=TraesCS1A03G0022100;previous_id=TraesCS1A02G008100;primconf=HC;Name=TraesCS1A03G0022100;cds=CDS_OK;mapping=fullPerfectMatch
1397,Chr1A,IWGSC_v2.1,gene,5597980,5603264,.,+,.,"ID=TraesCS1A03G0022300;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G008300,BST_chr1A_nlr_5;name=BST_chr1A_nlr_5;Name=TraesCS1A03G0022300;manually_curated=yes;last_modification=2017-01-31T11:14:28;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G008300"
1405,Chr1A,IWGSC_v2.1,gene,5708688,5710991,.,+,.,ID=TraesCS1A03G0022500;curating_team=IWGSC_steuernb;derived_from=BST_pseudo_chr1A_nlr_6;name=BST_pseudo_chr1A_nlr_6;Name=TraesCS1A03G0022500;manually_curated=yes;last_modification=2017-03-02T14:10:35;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G008353
1561,Chr1A,IWGSC_v2.1,gene,6691708,6697915,.,-,.,"ID=TraesCS1A03G0024800;curating_team=IWGSC_steuernb;derived_from=TraesCS1A01G009300,BST_chr1A_nlr_93;name=BST_chr1A_nlr_93;Name=TraesCS1A03G0024800;manually_curated=yes;last_modification=2017-02-18T11:39:55;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G009300"
1573,Chr1A,IWGSC_v2.1,gene,6711203,6717422,.,-,.,ID=TraesCS1A03G0024900;curating_team=IWGSC_steuernb;derived_from=BST_chr1A_nlr_92;name=BST_chr1A_nlr_92;Name=TraesCS1A03G0024900;manually_curated=yes;last_modification=2017-01-31T14:14:19;cds=CDS_OK;mapping=fullPerfectMatch;previous_id=TraesCS1A02G009320
