Gene ID,Clade,ipTM,pTM,AF confidence score,Amino acids,CC,NB,LRR,Additional,Lacked domains,ID,Remarks,,
TRAESCS7B03G0872500,CC,0.96,0.77,0.922,971,1-148,149-504,505-906,907-971,,,C-terminal extension,,
TRAESCS1D03G0821200,CC,0.9,0.52,0.824,435,1-67,68-236,237-435,,,,"Short CC, truncated NB, short LRR",,
TRAESCS1A03G0009700,CC,0.96,0.77,0.922,786,1-147,148-506,507-733,734-786,,,C-terminal extension,,
TRAESCS1D03G0211600,CC,0.96,0.78,0.924,975,1-148,149-502,503-926,927-975,,,C-terminal extension,,
TRAESCSU03G0220900,CC,0.96,0.72,0.912,958,1-147,148-503,504-928,929-958,,,C-terminal extension,,
TRAESCSU03G0001400,CC,0.96,0.72,0.912,977,1-152,153-504,505-928,929-977,,,C-terminal extension (a loop),,
TRAESCS5B03G1232900,CC,0.96,0.73,0.914,966,1-152,153-506,507-930,931-966,,,C-terminal extension (a loop),,
TRAESCS3A03G0166100,CC,0.81,0.39,0.726,261,1-147,148-261,,,,,"Short NB, no LRR",,
TRAESCS3D03G0149700,CC,0.96,0.76,0.92,950,1-147,148-503,504-896,897-952,,,"C-terminal extension (a loop, an α-helix)",,
TRAESCS7D03G1150600,CC,0.96,0.78,0.924,921,1-157,158-517,518-923,,,,,,
TRAESCS7A03G1212700,CC,0.96,0.77,0.922,949,1-155,156-515,516-951,,,,,,
TRAESCS7B03G1094100,CC,0.96,0.8,0.928,937,1-155,156-515,516-921,922-939,,,C-terminal extension (an α-helix),,
TRAESCS1B03G0054700,CC,0.96,0.78,0.924,896,1-146,147-511,512-896,,,,,,
TRAESCS1B03G0045800,CC,0.96,0.76,0.92,920,1-155,156-513,514-920,,,,,,
TRAESCS1B03G0054400,CC,0.96,0.72,0.912,918,1-154,155-510,511-918,,,,,,
TRAESCS6D03G0852500,CC,0.9,0.44,0.808,223,1-115,116-223,,,,,"Short CC, short NB, no LRR",,
TRAESCS7D03G0965100,CC,0.97,0.84,0.944,893,1-137,138-489,490-893,,,,,,
TRAESCS7B03G0850400,CC,0.96,0.81,0.93,891,1-135,136-487,488-891,,,,,,
TRAESCS7A03G1009500,CC,0.96,0.81,0.93,893,1-136,137-489,490-893,,,,,,
